date,day_type,transport_mode,distance_km,electricity_kwh,food_type,screen_time_hours,carbon_footprint_kg
2026-02-25,Weekday,Walk,8.47,14.91,Mixed,8.2,10.96
2026-02-26,Weekday,EV,9.69,15.62,Veg,8.9,8.73
2026-02-27,Weekday,Bus,34.52,4.68,Mixed,1.1,9.63
2026-02-28,Weekend,Car,20.98,16.02,Veg,5.9,12.6
2026-03-01,Weekend,Bus,33.13,6.68,Non-Veg,1.4,15.32
2026-03-02,Weekday,Car,28.32,13.37,Non-Veg,9.1,21.01
2026-03-03,Weekday,Walk,8.48,18.02,Non-Veg,6.6,17.21
2026-03-04,Weekday,Bike,1.23,7.22,Non-Veg,1.7,12.89
2026-03-05,Weekday,Walk,8.68,2.41,Non-Veg,4.0,10.96
2026-03-06,Weekday,Car,2.68,6.27,Non-Veg,3.2,13.04
2026-03-07,Weekend,EV,35.32,10.97,Mixed,7.9,11.15
2026-03-08,Weekend,Walk,3.59,5.79,Non-Veg,4.0,12.32
2026-03-09,Weekday,Walk,7.8,3.27,Mixed,4.1,6.31
2026-03-10,Weekday,EV,22.57,14.36,Veg,8.4,8.87
2026-03-11,Weekday,Bus,6.86,6.43,Non-Veg,6.8,13.12
2026-03-12,Weekday,Bike,1.16,12.54,Mixed,9.8,10.02
2026-03-13,Weekday,Bike,4.27,8.16,Veg,6.6,5.26
2026-03-14,Weekend,Car,10.25,9.79,Mixed,3.3,10.97
2026-03-15,Weekend,Bike,0.39,11.7,Veg,9.0,6.68
2026-03-16,Weekday,Walk,7.77,7.21,Non-Veg,1.1,12.88
2026-03-17,Weekday,Walk,9.87,16.13,Mixed,6.7,11.45
2026-03-18,Weekday,Car,32.99,3.41,Veg,3.3,9.96
2026-03-19,Weekday,Bike,3.26,19.65,Veg,6.1,9.86
2026-03-20,Weekday,Bike,4.72,6.71,Mixed,4.0,7.68
2026-03-21,Weekend,EV,49.18,17.0,Mixed,5.1,14.26
2026-03-22,Weekend,Bus,42.15,6.59,Veg,2.4,8.01
2026-03-23,Weekday,Bike,9.4,14.54,Mixed,9.1,10.82
2026-03-24,Weekday,Car,33.54,18.87,Veg,4.1,16.26
2026-03-25,Weekday,Bus,40.78,17.96,Veg,8.8,12.45
2026-03-26,Weekday,Bus,29.39,14.84,Veg,9.8,10.29
2026-03-27,Weekday,Walk,6.9,2.94,Non-Veg,1.3,11.18
2026-03-28,Weekend,Bike,3.95,6.38,Non-Veg,3.7,12.55
2026-03-29,Weekend,Car,20.35,15.71,Veg,4.1,12.35
2026-03-30,Weekday,Car,45.13,17.45,Veg,7.3,18.01
2026-03-31,Weekday,Bus,41.43,11.41,Mixed,4.9,12.88
2026-04-01,Weekday,EV,24.57,3.52,Veg,6.5,4.64
2026-04-02,Weekday,EV,45.46,14.44,Non-Veg,3.6,18.05
2026-04-03,Weekday,Bike,5.73,19.18,Veg,7.0,9.67
2026-04-04,Weekend,Walk,5.7,3.89,Mixed,5.3,6.56
2026-04-05,Weekend,Walk,5.87,2.97,Mixed,9.4,6.19
2026-04-06,Weekday,Walk,9.35,17.18,Veg,2.3,8.87
2026-04-07,Weekday,Walk,1.74,7.92,Mixed,7.4,8.17
2026-04-08,Weekday,EV,15.93,5.66,Veg,5.2,5.06
2026-04-09,Weekday,Bike,5.22,12.89,Non-Veg,2.5,15.16
2026-04-10,Weekday,Car,46.57,9.36,Veg,1.1,15.06
2026-04-11,Weekend,Car,7.86,5.87,Mixed,3.4,8.92
2026-04-12,Weekend,Walk,7.14,12.36,Non-Veg,5.9,14.94
2026-04-13,Weekday,Car,10.92,16.73,Mixed,5.9,13.88
2026-04-14,Weekday,EV,44.29,2.57,Veg,2.4,5.24
2026-04-15,Weekday,Car,7.5,4.36,Veg,8.3,5.24
2026-04-16,Weekday,EV,21.72,7.56,Non-Veg,8.6,14.11
2026-04-17,Weekday,Bike,5.88,19.42,Non-Veg,1.9,17.77
2026-04-18,Weekend,Walk,9.52,18.58,Veg,7.8,9.43
2026-04-19,Weekend,Walk,4.99,13.02,Veg,4.9,7.21
2026-04-20,Weekday,EV,39.17,18.67,Mixed,2.8,14.43
2026-04-21,Weekday,Car,32.24,10.13,Veg,7.7,12.5
2026-04-22,Weekday,Walk,3.23,16.4,Mixed,2.2,11.56
2026-04-23,Weekday,Walk,5.87,11.28,Veg,3.7,6.51
2026-04-24,Weekday,EV,26.69,9.96,Veg,9.8,7.32
2026-04-25,Weekend,Walk,9.98,13.52,Veg,7.6,7.41
2026-04-26,Weekend,EV,17.51,8.86,Veg,5.5,6.42
2026-04-27,Weekday,Walk,0.44,15.32,Mixed,1.7,11.13
2026-04-28,Weekday,Bike,9.39,15.43,Veg,8.1,8.17
2026-04-29,Weekday,Car,27.98,6.07,Mixed,6.1,13.02
2026-04-30,Weekday,Bus,32.35,8.97,Veg,3.8,8.18
2026-05-01,Weekday,Bike,1.72,8.97,Veg,10.0,5.59
2026-05-02,Weekend,Bus,43.23,8.06,Non-Veg,7.8,16.68
2026-05-03,Weekend,Bus,15.25,16.12,Non-Veg,6.7,17.67
2026-05-04,Weekday,Walk,1.56,14.12,Non-Veg,8.6,15.65
2026-05-05,Weekday,Bike,0.12,8.83,Mixed,2.8,8.53
2026-05-06,Weekday,Walk,8.66,4.74,Non-Veg,3.1,11.9
2026-05-07,Weekday,Car,41.25,17.16,Veg,2.5,17.11
2026-05-08,Weekday,Walk,4.5,4.69,Non-Veg,10.0,11.88
2026-05-09,Weekend,EV,18.93,5.55,Mixed,2.6,8.17
2026-05-10,Weekend,Walk,2.84,5.62,Veg,7.9,4.25
2026-05-11,Weekday,EV,23.82,5.94,Mixed,9.3,8.57
2026-05-12,Weekday,Bike,6.67,11.56,Non-Veg,3.6,14.62
2026-05-13,Weekday,Bus,8.49,11.58,Non-Veg,2.4,15.31
2026-05-14,Weekday,EV,24.82,8.24,Veg,8.1,6.54
2026-05-15,Weekday,Walk,0.18,6.66,Veg,9.1,4.66
2026-05-16,Weekend,Bike,1.96,12.0,Non-Veg,9.4,14.8
2026-05-17,Weekend,Walk,8.13,10.83,Veg,3.5,6.33
2026-05-18,Weekday,Bike,0.94,5.99,Mixed,5.7,7.4
2026-05-19,Weekday,Bus,25.59,3.64,Veg,9.3,5.5
2026-05-20,Weekday,Bike,4.69,7.86,Mixed,4.9,8.14
2026-05-21,Weekday,Walk,9.04,3.05,Non-Veg,7.1,11.22
2026-05-22,Weekday,Car,0.54,11.55,Veg,7.9,6.73
2026-05-23,Weekend,Bus,13.79,13.54,Non-Veg,4.6,16.52
2026-05-24,Weekend,Bike,8.26,14.38,Mixed,3.9,10.75
2026-05-25,Weekday,Bus,22.33,6.75,Mixed,8.1,9.49
2026-05-26,Weekday,Bike,9.62,14.28,Non-Veg,7.0,15.71
2026-05-27,Weekday,Walk,5.72,11.03,Veg,1.8,6.41
2026-05-28,Weekday,Walk,2.71,10.98,Mixed,5.8,9.39
2026-05-29,Weekday,Car,8.09,7.3,Mixed,2.0,9.54
2026-05-30,Weekend,Walk,2.18,10.73,Non-Veg,5.5,14.29
2026-05-31,Weekend,Walk,2.98,8.33,Mixed,9.3,8.33
2026-06-01,Weekday,Bike,2.94,4.39,Veg,6.5,3.76
2026-06-02,Weekday,Car,32.53,17.66,Veg,2.2,15.57
2026-06-03,Weekday,EV,5.5,3.29,Mixed,5.1,6.59
2026-06-04,Weekday,Car,30.46,11.8,Mixed,4.0,15.81
2026-06-05,Weekday,Car,48.33,3.21,Non-Veg,9.9,20.95
2026-06-06,Weekend,Bike,0.26,15.26,Mixed,2.3,11.1
2026-06-07,Weekend,EV,24.28,5.37,Non-Veg,3.3,13.36
2026-06-08,Weekday,EV,49.76,5.01,Veg,6.2,6.49
